Place,City,State,Food,Audience,Status
Loretta's Northwesterner,Georgetown,WA,dive burgers,day date,fav
Pick-Quick Drive In,Georgetown,WA,burgers,counter service,fav
Wigwam Tavern,Gorst,WA,bbq and beer,ohana,try
Bongos,Green Lake,WA,cuban sandwiches,counter service,fav
Green Leaf Vietnamese Restaurant,International District,WA,vietnamese,counter service,fav
Mike's Noodle House,International District,WA,chinese soup,ohana,fav
Bento-ya Goemon,Issaquah,WA,bento,counter service,fav
Khao San Thai,Issaquah,WA,thai,counter service,try
Sunset Alehouse,Issaquah,WA,pub food,ohana,fav
Xochi,Issaquah,WA,tacos,counter service,try
Green Valley,Kent,WA,poke,counter service,fav
Cooper's Ale House,Lake City,WA,pub food,day date,fav
Man'oushe Express,Lake City,WA,lebanese,counter service,try
Resonate Brewery and Pizzeria,Newport,WA,pizza and brewery,ohana,fav
Collins Pub,Pioneer Square,WA,gastropub,day date,fav
Byen Bakeri,Queen Anne,WA,scandinavian bakery,counter service,fav
Hilltop Ale House,Queen Anne,WA,pub food,day date,fav
Queen Anne Hall,Queen Anne,WA,bierhall,ohana,fav
King Philly Cheesesteak,Rainier Valley,WA,wings and cheesesteaks,counter service,try
Mawadda Cafe,Rainier Valley,WA,falafel,counter service,try
Rainier BBQ and Restaurant,Rainier Valley,WA,vietnamese,counter service,try
Taco Street,Rainier Valley,WA,tacos,counter service,try
Saimin Says,Renton,WA,plate lunch,counter service,fav
Tortas Ahogadas y tacos Atemajac,Renton,WA,tortas,counter service,try
Hess Bakery,Tacoma,WA,german,counter service,try
The Habit Burger Grill,Tukwila,WA,burgers,counter service,try
Yummy Kitchen,Tukwila,WA,meat jun,counter service,fav
Big Time Brewery,University District,WA,pub food,day date,fav
4649 Yoroshiku,Wallingford,WA,izakaya,day date,try
Beveridge Place Pub,West Seattle,WA,beer bar,day date,fav
Marination Ma Kai,West Seattle,WA,plate lunch,counter service,fav
Carniceria El Paisano,White Center,WA,tamales,counter service,try
El Paisano Rosticeria Y Cocina,White Center,WA,roast chicken,counter service,try
Proletariat Pizza,White Center,WA,pizza,counter service,fav
Taqueria La Fondita #2,White Center,WA,tacos,counter service,fav
Hollywood Tavern,Woodinville,WA,pub food,ohana,try
Olympia Provisions Public House,Portland,OR,brats,ohana,fav
Grind Wit Tryz,Portland,OR,plate lunch,counter service,fav
Sunriver Brewing,Bend,OR,pub food,ohana,fav
Crux Fermentation Project,Bend,OR,beer garden,ohana,fav
Deschutes Brewery,Bend,OR,brewery,day date,fav
Upright Brewing,Portland,OR,brewery,day date,fav
