Place,City,State,Food,Audience
Quinn's Pub,Capitol Hill,WA,gastropub,adults only
Prost,West Seattle,WA,german,adults only
Collins Pub,Pioneer Square,WA,gastropub,adults only
Westward Whiskey,Portland,OR,distillery,adults only
Wayfinder Beer,Portland,OR,lagers,adults only
Hair of the Dog Brewery and Tasting Room,Portland,OR,barleywines,adults only
Loretta's Northwesterner,Georgetown,WA,dive burgers,adults only
Giddy Up Burgers and Greens,Fremont,WA,burgers,family todo
Aslan Brewing Company,Bellingham,WA,brewery,family todo
Aviv Hummus Bar,Capitol Hill,WA,hummus,family todo
Carnitas Michoacan,Beacon Hill,WA,tacos,family todo
Ballard Choice,Ballard,WA,plate lunch and beer,family todo
King Philly Cheesesteak,Rainier Valley,WA,wings and cheesesteaks,family todo
Mean Sandwich,Ballard,WA,sandwiches,family todo
Miah's Kitchen,BelRed,WA,biang biang,family todo
Ping's Dumpling House,International District,WA,dumplings,family todo
Bar Del Corso,Beacon Hill,WA,pizza,family todo
Independent Pizzeria,Madison Park,WA,pizza,family todo
Hess Bakery,Tacoma,WA,german,family todo
Mawadda Cafe,Burien,WA,falafel,family todo
Cafe Munir,Ballard,WA,lebanese,family todo
Wigwam Tavern,Gorst,WA,bbq and beer,family todo
Revel,Fremont,WA,korean,family todo
Delancey,Ballard,WA,pizza,family todo
Gourmet Noodle Bowl,International District,WA,chinese soup,family todo
Rainier BBQ and Restaurant,Rainier Valley,WA,vietnamese,family todo
Little Taipei,Bellevue,WA,taiwanese,family todo
Cafe Ori,Bellevue,WA,taiwanese,family todo
Izumi,Kirkland,WA,sushi,family todo
Ranch Drive-In,Bothell,WA,burgers,family todo
BeachHouse Bar and Grill,Kirkland,WA,burgers,family todo
The Swiss,Tacoma,WA,pub food,family todo
The Commons,Woodinville,WA,café,family todo
Hollywood Tavern,Woodinville,WA,pub food,family todo
Da Pino on Ravenna,Ravenna,WA,italian,family todo
Rocking Wok,Wallingford,WA,taiwanese,family todo
Dru Bru,Snoqualmie Pass,WA,brewery,family
Kanishka Cuisine of India,Redmond,WA,indian,family todo
Anjappar Chettinad Restaurant,BelRed,WA,indian,family todo
Mojito,Roosevelt,WA,latin,family todo
South Gate Garden,Eastgate,WA,korean bbq,family todo
Man'oushe Express,Lake City,WA,lebanese,family todo
Song Phang Kong,International District,WA,thai,family todo
8oz Burger and Co,Ballard,WA,burgers,family todo
Burger Boss,White Center,WA,burgers,family todo
Carniceria El Paisano,White Center,WA,tamales,family todo
El Paisano Rosticeria Y Cocina,White Center,WA,roast chicken,family todo
Queen Anne Hall,Queen Anne,WA,bierhall,family
The Habit Burger Grill,Tukwila,WA,burgers,family todo
Foo Lam,Beacon Hill,WA,dim sum,family todo
Dong Thap Noodles,International District,WA,vietnamese,family todo
Van's Burgers,Olympia,WA,burgers,family todo
Sofie's Scoops,Olympia,WA,gelato,family
Karaage Setsuna,Belltown,WA,izakaya,family todo
The Fat Hen,Ballard,WA,brunch,family todo
Cafe Selam,Central District,WA,ethiopian,family todo
Tonallis Donut Shop,Portland,OR,donuts,family todo
Fonda La Catrina,Georgetown,WA,mexican,family todo
Medina Cafe,Vancouver,BC,brunch,family todo
Nong's Khao Man Gai,Portland,OR,chicken rice,family todo
Cool Moon Ice Cream,Portland,OR,ice cream,family todo
The Oregon Public House,Portland,OR,pub food,family todo
Kim Jong Grillin',Portland,OR,food truck,family todo
Ex Novo Brewing,Portland,OR,brewery,family todo
Baerlic Brewing,Portland,OR,brewery,family todo
Pelican Brewing Company,Pacific City,OR,brewery,family todo
Kirin Mandarin Restaurant,Vancouver,BC,dim sum,family todo
Golden Paramount Seafood Restaurant,Richmond,BC,dim sum,family todo
Shanghai River Restaurant,Richmond,BC,dim sum,family todo
Nan Chuu Japanese Izakaya,Richmond,BC,izakaya,family todo
Breezy Town Pizza,Beacon Hill,WA,pizza,family todo
Taco Street,Rainier Valley,WA,tacos,family todo
Lan Hue Sandwiches,International District,WA,banh mi,family todo
Cakes of Paradise,Georgetown,WA,bakery,family todo
Watson's Counter,Ballard,WA,brunch,family todo
Ohana Kitchen,Burien,WA,meat jun,family todo
Burien Fish House,Burien,WA,shrimp mac and cheese,family todo
Checkerboard,Portland,OR,pizza,family todo
Standard Brewing,Central District,WA,brewery,adults only todo
Supreme Pizza,West Seattle,WA,pizza,adults only todo
4649 Yoroshiku,Wallingford,WA,izakaya,adults only todo
Joule,Fremont,WA,korean fusion,adults only todo
Kedai Makan,Capitol Hill,WA,malaysian,adults only todo
Rock Creek Seafood and Spirits,Fremont,WA,seafood,adults only todo
Mamnoon,Capitol Hill,WA,middle eastern,family
Altstadt,Pioneer Square,WA,german,adults only todo
Ishoni Yakiniku,Bellevue,WA,yakiniku,adults only todo
El Sirenito,Georgetown,WA,seafood tapas,adults only todo
Tu Cantinas,Georgetown,WA,tacos,adults only todo
Westward,Wallingford,WA,seafood,adults only todo
Little Water Cantina,Eastlake,WA,outdoors,adults only todo
Seraveza,Portland,OR,pub food,adults only todo
Restaurant St Jack,Portland,OR,french,adults only todo
Clear Creek Distillery,Hood River,OR,distillery,adults only todo
Culmination Brewing,Portland,OR,brewery,adults only
Ankeny Tap and Table,Portland,OR,pub food,adults only todo
Breakside Brewery,Portland,OR,brewery,adults only todo
Old Town Pizza and Brewing,Portland,OR,lagers,adults only todo
Kingyo Izakaya,"Vancouver, BC",BC,izakaya,adults only todo
Guu Original,"Vancouver, BC",BC,izakaya,adults only todo
Tojo's Restaurant,"Vancouver, BC",BC,sushi,adults only todo
Bao Bei,"Vancouver, BC",BC,modern chinese,adults only todo
La Quercia,"Vancouver, BC",BC,italian,adults only todo
Chambar,"Vancouver, BC",BC,belgian,adults only todo
Monkless Belgian Ales,Bend,OR,brewery,family
Eat Ono Poke,Edmonds,WA,poke,family todo
Green Valley,Kent,WA,poke,family
Hei Hei Rice Roll,Vancouver,BC,cheung fun,family todo
Bento-ya Goemon,Issaquah,WA,bento,family
